,0,1,2,3,4,5,6,7,8,9
0,1,23.1,27.3,17,-,60,0,1.9,8.9,20.6
1,2,23.6,27.6,18,-,65,0,1.8,5.7,14.8
2,3,24,29,18.4,-,65,0,1.8,6.7,18.3
3,4,,,,,,,,,
4,5,,,,,,,,,
5,6,,,,,,,,,
6,7,24.9,30.3,18.3,-,49,0,1.9,6.3,16.5
7,8,25.1,31.2,16,-,43,0,2.1,6.3,16.5
8,9,26.2,33,20.4,-,31,0,2.4,10.2,20.6
9,10,,,,,,,,,
10,11,,,,,,,,,
11,12,,,,,,,,,
12,13,24.8,32,15.4,-,44,0,2.1,8,18.3
13,14,23.9,29.7,15.8,-,55,0,1.8,6.9,18.3
14,15,24.6,30,15.4,-,51,0,1.8,5.9,14.8
15,16,,,,,,,,,
16,17,,,,,,,,,
17,18,,,,,,,,,
18,19,24.3,30,17.4,-,68,0,1.8,7.4,20.6
19,20,24.8,29.3,18.7,-,59,0,1.9,6.7,18.3
20,21,25.1,29,17,-,54,0,2.4,6.7,22.2
21,22,,,,,,,,,
22,23,,,,,,,,,
23,24,,,,,,,,,
24,25,25.4,30,20,-,56,0,2.3,8.7,20.6
25,26,23.8,29.7,19,-,57,0,2.3,9.4,20.6
26,27,23.3,29,17.6,-,58,0,2.3,9.6,22.2
27,28,,,,,,,,,
28,29,,,,,,,,,
29,30,,,,,,,,,
30,31,27.7,34.3,22,-,40,0,2.9,7.8,18.3
31,,,,,,,,,,
32,,,,,,,,,,
33,1,26.4,33.2,19,-,48,0,2.7,6.7,20.6
34,2,25.2,29.6,18.9,-,56,0,2.9,6.9,20.6
35,3,26.5,31.8,19,-,47,0,2.6,6.7,16.5
36,4,,,,,,,,,
37,5,,,,,,,,,
38,6,,,,,,,,,
39,7,24.9,29.8,19.1,-,67,0,2.6,9.4,22.2
40,8,24.6,29.9,19.3,-,56,0,3.5,8.1,22.2
41,9,25.9,32.8,17,-,50,0,3.1,7.8,22.2
42,10,,,,,,,,,
43,11,,,,,,,,,
44,12,,,,,,,,,
45,13,26.4,32.2,18.2,-,54,0,2.6,7,20.6
46,14,26.4,32,19,-,51,0,2.7,6.7,16.5
47,15,26.1,31,18.3,-,59,0,3.2,9.6,20.6
48,16,,,,,,,,,
49,17,,,,,,,,,
50,18,,,,,,,,,
51,19,26,31,19.7,-,65,0,3.4,7.8,22.2
52,20,26.6,32,16,-,62,0,3.5,6.9,22.2
53,21,30.5,39,20.2,-,34,0,3.1,6.9,20.6
54,22,,,,,,,,,
55,23,,,,,,,,,
56,24,,,,,,,,,
