,T,TM,tm,H,PP,VV,V,VM,PM25
01-01-2015,23.1,27.3,17,60,0,1.9,8.9,20.6,163
02-01-2015,23.6,27.6,18,65,0,1.8,5.7,14.8,165
03-01-2015,24,29,18.4,65,0,1.8,6.7,18.3,170
07-01-2015,24.9,30.3,18.3,49,0,1.9,6.3,16.5,164
08-01-2015,25.1,31.2,16,43,0,2.1,6.3,16.5,169
09-01-2015,26.2,33,20.4,31,0,2.4,10.2,20.6,159
13-01-2015,24.8,32,15.4,44,0,2.1,8,18.3,169
14-01-2015,23.9,29.7,15.8,55,0,1.8,6.9,18.3,174
15-01-2015,24.6,30,15.4,51,0,1.8,5.9,14.8,161
19-01-2015,24.3,30,17.4,68,0,1.8,7.4,20.6,176
20-01-2015,24.8,29.3,18.7,59,0,1.9,6.7,18.3,168
21-01-2015,25.1,29,17,54,0,2.4,6.7,22.2,155
25-01-2015,25.4,30,20,56,0,2.3,8.7,20.6,168
26-01-2015,23.8,29.7,19,57,0,2.3,9.4,20.6,152
27-01-2015,23.3,29,17.6,58,0,2.3,9.6,22.2,145
31-01-2015,27.7,34.3,22,40,0,2.9,7.8,18.3,149
01-02-2015,26.4,33.2,19,48,0,2.7,6.7,20.6,209
02-02-2015,25.2,29.6,18.9,56,0,2.9,6.9,20.6,161
03-02-2015,26.5,31.8,19,47,0,2.6,6.7,16.5,163
07-02-2015,24.9,29.8,19.1,67,0,2.6,9.4,22.2,165
08-02-2015,24.6,29.9,19.3,56,0,3.5,8.1,22.2,157
09-02-2015,25.9,32.8,17,50,0,3.1,7.8,22.2,160
13-02-2015,26.4,32.2,18.2,54,0,2.6,7,20.6,172
14-02-2015,26.4,32,19,51,0,2.7,6.7,16.5,172
15-02-2015,26.1,31,18.3,59,0,3.2,9.6,20.6,171
19-02-2015,26,31,19.7,65,0,3.4,7.8,22.2,162
20-02-2015,26.6,32,16,62,0,3.5,6.9,22.2,159
21-02-2015,30.5,39,20.2,34,0,3.1,6.9,20.6,182
25-02-2015,26.5,31.8,22.9,64,0,3.1,10.9,22.2,156
26-02-2015,25.1,29,19.9,57,0,3.9,11.1,22.2,154
27-02-2015,24.4,28.7,17.2,64,0,4,8.9,22.2,137
01-03-2015,24.1,28.3,20,72,0,4.3,15,24.1,113
03-03-2015,23.5,28,16.6,51,0,3.7,9.4,25.9,159
07-03-2015,28.2,34.5,18.6,43,0,3.2,7.6,22.2,180
08-03-2015,27.4,32,19,55,0,3.4,9.8,22.2,155
09-03-2015,28.3,34.8,22.3,46,0,3.5,7.6,22.2,155
13-03-2015,30.7,37,21.7,44,0,3.4,8.3,18.3,140
14-03-2015,28,32,23,66,2.03,3.5,9.8,22.2,165
15-03-2015,26.8,30.8,21.2,70,0,3.9,10.6,22.2,107
19-03-2015,30.4,37.3,19,42,0,3.4,9.8,24.1,172
20-03-2015,30.8,36.5,21.2,40,0,2.9,7.8,22.2,168
21-03-2015,30.2,35.3,22.2,59,0,2.4,8.7,20.6,199
25-03-2015,32.4,41,22,49,0,3.1,10.9,18.3,153
26-03-2015,30.1,34.3,25.6,79,0,2.9,10.4,22.2,179
27-03-2015,29.7,33.1,25.8,82,0,2.9,10,22.2,173
31-03-2015,30.2,35,21.4,28,0,4.3,10.7,20.6,103
01-04-2015,29,33.6,19.6,53,0,4,11.3,24.1,94
02-04-2015,29.1,33.3,20.8,56,0,3.4,10.9,24.1,93
03-04-2015,28.1,32,22,68,0,3.9,10.7,24.1,79
07-04-2015,28.2,32,22,67,0,2.9,9.6,20.6,163
08-04-2015,28.4,32,22.8,71,0,2.9,11.5,25.9,156
09-04-2015,28.9,32,25.2,74,0,3.2,9.1,18.3,152
13-04-2015,28.6,32.3,23.6,66,0,3.2,8.5,24.1,115
14-04-2015,27.7,31.8,23.2,68,0,3.1,8.9,22.2,125
15-04-2015,29.3,33.2,21.8,66,0,3.4,9.4,29.4,140
