date, pm25
13-05-2015,79
14-05-2015,78
15-05-2015,92
16-05-2015,128
17-05-2015,12
18-05-2015,88
19-05-2015,90
20-05-2015,72
21-05-2015,135
22-05-2015,161
23-05-2015,137
24-05-2015,104
25-05-2015,128
26-05-2015,81
27-05-2015,115
28-05-2015,87
29-05-2015,270
30-05-2015,197
31-05-2015,152
01-06-2015,186
02-06-2015, 
03-06-2015, 
04-06-2015,18
05-06-2015, 
06-06-2015,43
07-06-2015, 
08-06-2015,90
09-06-2015,12
10-06-2015,38
11-06-2015,50
12-06-2015,8
13-06-2015,24
14-06-2015,6
15-06-2015,63
16-06-2015,27
17-06-2015,46
18-06-2015,118
19-06-2015,11
20-06-2015, 
21-06-2015,23
22-06-2015,110
23-06-2015,12
24-06-2015,9
25-06-2015,20
26-06-2015,16
27-06-2015,91
28-06-2015,23
29-06-2015,29
30-06-2015,68
01-07-2015,91
02-07-2015,71
03-07-2015,23
04-07-2015,46
05-07-2015,182
06-07-2015,54
07-07-2015,27
08-07-2015,27
09-07-2015,30
10-07-2015,22
11-07-2015,15
12-07-2015,94
13-07-2015,18
14-07-2015,11
15-07-2015,31
16-07-2015,32
17-07-2015,9
18-07-2015,11
19-07-2015,20
20-07-2015,31
21-07-2015,15
22-07-2015,15
23-07-2015,4
24-07-2015,17
25-07-2015,37
26-07-2015,15
27-07-2015,11
28-07-2015,10
29-07-2015,18
30-07-2015,91
31-07-2015,33
01-08-2015,60
02-08-2015,33
03-08-2015,74
04-08-2015,31
05-08-2015,38
06-08-2015,54
07-08-2015,41
08-08-2015,42
09-08-2015,95
10-08-2015,46
11-08-2015,65
12-08-2015,112
13-08-2015,111
14-08-2015,142
15-08-2015,123
16-08-2015,147
17-08-2015,140
18-08-2015,146
19-08-2015,143
20-08-2015,140
21-08-2015,103
22-08-2015,119
23-08-2015,144
24-08-2015,162
25-08-2015,140
26-08-2015,162
27-08-2015,142
28-08-2015,133
29-08-2015, 
30-08-2015,127
31-08-2015,130
01-09-2015,137
02-09-2015,119
03-09-2015,126
04-09-2015,313
05-09-2015,214
06-09-2015,89
07-09-2015,206
08-09-2015,108
09-09-2015, 
10-09-2015,88
11-09-2015, 
12-09-2015,132
13-09-2015,119
14-09-2015,129
15-09-2015,143
16-09-2015,149
17-09-2015,149
18-09-2015,137
19-09-2015,125
20-09-2015,114
21-09-2015,164
22-09-2015,203
23-09-2015,172
24-09-2015,122
25-09-2015,150
26-09-2015,224
27-09-2015,145
28-09-2015,141
29-09-2015,134
30-09-2015,158
01-10-2015,166
02-10-2015,132
03-10-2015,135
04-10-2015,114
05-10-2015,209
06-10-2015,91
07-10-2015,189
08-10-2015,130
09-10-2015,148
10-10-2015,173
11-10-2015, 
12-10-2015,180
13-10-2015,133
14-10-2015,190
15-10-2015,141
16-10-2015,67
17-10-2015,136
18-10-2015,179
19-10-2015,109
20-10-2015,183
21-10-2015,112
22-10-2015,127
23-10-2015, 
24-10-2015,123
25-10-2015,148
26-10-2015,127
27-10-2015,182
28-10-2015,76
29-10-2015,149
30-10-2015,124
31-10-2015,56
01-11-2015,155
02-11-2015,93
03-11-2015,54
04-11-2015,62
05-11-2015,93
06-11-2015,100
07-11-2015,84
08-11-2015,116
09-11-2015,124
10-11-2015,103
11-11-2015,113
12-11-2015,66
13-11-2015,65
14-11-2015,33
15-11-2015,29
16-11-2015,49
17-11-2015,38
18-11-2015, 
19-11-2015,46
20-11-2015,50
21-11-2015,42
22-11-2015,39
23-11-2015,66
24-11-2015,23
25-11-2015,65
26-11-2015,37
27-11-2015,44
28-11-2015,123
29-11-2015, 
30-11-2015,91
01-12-2015,147
02-12-2015,59
03-12-2015,44
04-12-2015,95
05-12-2015,101
06-12-2015,83
07-12-2015,94
08-12-2015,107
09-12-2015,90
10-12-2015,78
11-12-2015,92
12-12-2015,80
13-12-2015,94
14-12-2015,108
15-12-2015,128
16-12-2015,108
17-12-2015,98
18-12-2015,106
19-12-2015,43
21-12-2015, 
22-12-2015,147
23-12-2015,98
24-12-2015,309
25-12-2015,140
26-12-2015,133
27-12-2015,158
28-12-2015,148
29-12-2015,108
30-12-2015,110
31-12-2015,153
02-01-2016, 
03-01-2016,107
04-01-2016,132
05-01-2016,134
06-01-2016,131
07-01-2016,145
08-01-2016,286
09-01-2016,138
10-01-2016,148
11-01-2016,125
12-01-2016,150
13-01-2016,160
14-01-2016,154
15-01-2016,159
16-01-2016,171
17-01-2016,157
18-01-2016,163
19-01-2016,161
20-01-2016,168
21-01-2016,151
22-01-2016,168
23-01-2016,159
24-01-2016,127
25-01-2016,147
26-01-2016,226
27-01-2016,168
28-01-2016,166
29-01-2016,182
30-01-2016,153
31-01-2016,155
01-02-2016,143
02-02-2016,147
03-02-2016,152
04-02-2016,151
05-02-2016,158
06-02-2016,161
07-02-2016,175
08-02-2016,164
09-02-2016,166
10-02-2016,170
11-02-2016,165
12-02-2016,171
14-02-2016, 
15-02-2016,128
16-02-2016,128
17-02-2016,138
18-02-2016,155
19-02-2016,144
20-02-2016,143
21-02-2016,153
22-02-2016,151
23-02-2016,149
24-02-2016,159
25-02-2016,154
26-02-2016,143
27-02-2016,101
28-02-2016,117
29-02-2016,132
01-03-2016,116
02-03-2016,114
03-03-2016,140
04-03-2016,147
05-03-2016,132
06-03-2016,132
07-03-2016,132
08-03-2016,143
09-03-2016,144
10-03-2016,152
12-03-2016, 
13-03-2016,145
14-03-2016,150
15-03-2016,143
16-03-2016,145
17-03-2016,152
18-03-2016,157
19-03-2016,159
20-03-2016,118
21-03-2016,147
22-03-2016,160
23-03-2016,150
24-03-2016,155
26-03-2016, 
27-03-2016,139
28-03-2016,153
29-03-2016,148
30-03-2016,144
