date, pm25
01-01-2015,272
02-01-2015,293
03-01-2015,173
04-01-2015,190
05-01-2015,191
06-01-2015,190
07-01-2015,249
08-01-2015,265
09-01-2015,306
10-01-2015,298
11-01-2015,285
12-01-2015,301
13-01-2015,298
14-01-2015,276
15-01-2015,253
16-01-2015,259
17-01-2015,261
18-01-2015,280
19-01-2015,260
20-01-2015,259
21-01-2015,263
22-01-2015,238
23-01-2015,176
24-01-2015,168
25-01-2015,181
26-01-2015,199
27-01-2015,213
28-01-2015,199
29-01-2015,218
30-01-2015,208
31-01-2015,181
01-02-2015,264
02-02-2015,244
03-02-2015,212
04-02-2015,190
05-02-2015,177
06-02-2015,195
07-02-2015,207
08-02-2015,197
09-02-2015,179
10-02-2015,172
11-02-2015,187
12-02-2015,211
13-02-2015,197
14-02-2015,185
15-02-2015,221
16-02-2015,224
17-02-2015,206
18-02-2015,225
19-02-2015,228
20-02-2015,200
21-02-2015,179
22-02-2015,160
23-02-2015,175
24-02-2015,226
25-02-2015,210
26-02-2015,176
27-02-2015,158
28-02-2015,160
01-03-2015,174
03-03-2015,131
04-03-2015,161
05-03-2015,169
06-03-2015,177
07-03-2015,132
08-03-2015,122
09-03-2015,107
10-03-2015,148
11-03-2015,172
12-03-2015,190
13-03-2015,186
14-03-2015,169
15-03-2015,91
16-03-2015,80
17-03-2015,134
18-03-2015,139
19-03-2015,135
20-03-2015,160
21-03-2015,166
22-03-2015,160
23-03-2015,152
24-03-2015,154
25-03-2015,164
26-03-2015,179
27-03-2015,141
28-03-2015,150
29-03-2015,173
30-03-2015,134
31-03-2015,79
01-04-2015,152
02-04-2015,156
03-04-2015,105
04-04-2015,84
05-04-2015,113
06-04-2015,168
07-04-2015,140
08-04-2015,154
09-04-2015,146
10-04-2015,135
11-04-2015,143
12-04-2015,109
13-04-2015,134
14-04-2015,128
15-04-2015,131
16-04-2015,118
17-04-2015,126
18-04-2015,165
19-04-2015,165
20-04-2015,172
21-04-2015,152
22-04-2015,142
23-04-2015,131
24-04-2015,171
25-04-2015,159
26-04-2015,90
27-04-2015,127
28-04-2015,110
29-04-2015,111
30-04-2015,130
01-05-2015,116
02-05-2015,129
03-05-2015,176
04-05-2015,151
05-05-2015,183
06-05-2015,187
07-05-2015,156
08-05-2015,158
