,Date,T,TM,tm,H,PP,VV,V,VM
0,01-01-2015,21.1,24.3,18.4,81,-,1.9,8,14.8
1,02-01-2015,23.6,27.9,19,79,2.03,2.3,8,22.2
2,03-01-2015,24.1,30.6,20,84,0,2.4,8.3,18.3
3,04-01-2015,,,,,,,,
4,05-01-2015,,,,,,,,
5,06-01-2015,,,,,,,,
6,07-01-2015,19.3,24.2,13.6,68,0,2.1,5.2,14.8
7,08-01-2015,19,25.5,13.2,72,0,1.9,5.4,14.8
8,09-01-2015,18.8,23.8,14,73,0,1.9,7,14.8
9,10-01-2015,,,,,,,,
10,11-01-2015,,,,,,,,
11,12-01-2015,,,,,,,,
12,13-01-2015,18,23.7,12.5,71,0,1.9,5,13
13,14-01-2015,19.2,24.5,13.7,66,0,1.8,4.8,14.8
14,15-01-2015,19.4,25.9,13.6,70,0,2.1,5.6,14.8
15,16-01-2015,,,,,,,,
16,17-01-2015,,,,,,,,
17,18-01-2015,,,,,,,,
18,19-01-2015,16.4,22,12,78,0,1.8,6.1,13
19,20-01-2015,16.8,23.6,12,72,0,2.1,7.4,16.5
20,21-01-2015,17.7,25.3,12,65,0,2.3,5.6,18.3
21,22-01-2015,,,,,,,,
22,23-01-2015,,,,,,,,
23,24-01-2015,,,,,,,,
24,25-01-2015,20.1,27,14.5,68,0,2.3,5.2,14.8
25,26-01-2015,20,26.7,15,66,0,2.6,5.6,13
26,27-01-2015,20.5,27,15,67,0,2.3,5,14.8
27,28-01-2015,,,,,,,,
28,29-01-2015,,,,,,,,
29,30-01-2015,,,,,,,,
30,31-01-2015,17,23.2,12,63,0,2.3,6.7,16.5
31,01-02-2015,17.5,24.3,12,61,0,2.3,6.9,14.8
32,02-02-2015,18.4,25.3,12,60,0,2.1,4.6,14.8
33,03-02-2015,20.4,28.7,13,60,0,2.4,4.4,14.8
34,04-02-2015,,,,,,,,
35,05-02-2015,,,,,,,,
36,06-02-2015,,,,,,,,
37,07-02-2015,18.7,25.3,12.6,61,0,2.3,4.4,13
38,08-02-2015,21.1,29,13,59,0,2.3,3.1,9.4
39,09-02-2015,21.4,27.8,15.4,65,0,2.1,5.6,18.3
40,10-02-2015,,,,,,,,
41,11-02-2015,,,,,,,,
42,12-02-2015,,,,,,,,
43,13-02-2015,20.9,27.5,16,64,0,2.1,5.2,13
44,14-02-2015,22,29,15,64,0,2.3,5.9,14.8
45,15-02-2015,23.4,30.6,19,75,-,1.9,9.1,18.3
46,16-02-2015,,,,,,,,
