,Date,T,TM,tm,H,PP,VV,V,VM
0,01-01-2015,23.1,27.3,17,60,0,1.9,8.9,20.6
1,02-01-2015,23.6,27.6,18,65,0,1.8,5.7,14.8
2,03-01-2015,24,29,18.4,65,0,1.8,6.7,18.3
3,04-01-2015,,,,,,,,
4,05-01-2015,,,,,,,,
5,06-01-2015,,,,,,,,
6,07-01-2015,24.9,30.3,18.3,49,0,1.9,6.3,16.5
7,08-01-2015,25.1,31.2,16,43,0,2.1,6.3,16.5
8,09-01-2015,26.2,33,20.4,31,0,2.4,10.2,20.6
9,10-01-2015,,,,,,,,
10,11-01-2015,,,,,,,,
11,12-01-2015,,,,,,,,
12,13-01-2015,24.8,32,15.4,44,0,2.1,8,18.3
13,14-01-2015,23.9,29.7,15.8,55,0,1.8,6.9,18.3
14,15-01-2015,24.6,30,15.4,51,0,1.8,5.9,14.8
15,16-01-2015,,,,,,,,
16,17-01-2015,,,,,,,,
17,18-01-2015,,,,,,,,
18,19-01-2015,24.3,30,17.4,68,0,1.8,7.4,20.6
19,20-01-2015,24.8,29.3,18.7,59,0,1.9,6.7,18.3
20,21-01-2015,25.1,29,17,54,0,2.4,6.7,22.2
21,22-01-2015,,,,,,,,
22,23-01-2015,,,,,,,,
23,24-01-2015,,,,,,,,
24,25-01-2015,25.4,30,20,56,0,2.3,8.7,20.6
25,26-01-2015,23.8,29.7,19,57,0,2.3,9.4,20.6
26,27-01-2015,23.3,29,17.6,58,0,2.3,9.6,22.2
27,28-01-2015,,,,,,,,
28,29-01-2015,,,,,,,,
29,30-01-2015,,,,,,,,
30,31-01-2015,27.7,34.3,22,40,0,2.9,7.8,18.3
31,01-02-2015,26.4,33.2,19,48,0,2.7,6.7,20.6
32,02-02-2015,25.2,29.6,18.9,56,0,2.9,6.9,20.6
33,03-02-2015,26.5,31.8,19,47,0,2.6,6.7,16.5
34,04-02-2015,,,,,,,,
35,05-02-2015,,,,,,,,
36,06-02-2015,,,,,,,,
37,07-02-2015,24.9,29.8,19.1,67,0,2.6,9.4,22.2
38,08-02-2015,24.6,29.9,19.3,56,0,3.5,8.1,22.2
39,09-02-2015,25.9,32.8,17,50,0,3.1,7.8,22.2
40,10-02-2015,,,,,,,,
41,11-02-2015,,,,,,,,
42,12-02-2015,,,,,,,,
43,13-02-2015,26.4,32.2,18.2,54,0,2.6,7,20.6
44,14-02-2015,26.4,32,19,51,0,2.7,6.7,16.5
45,15-02-2015,26.1,31,18.3,59,0,3.2,9.6,20.6
46,16-02-2015,,,,,,,,
47,17-02-2015,,,,,,,,
48,18-02-2015,,,,,,,,
49,19-02-2015,26,31,19.7,65,0,3.4,7.8,22.2
50,20-02-2015,26.6,32,16,62,0,3.5,6.9,22.2
51,21-02-2015,30.5,39,20.2,34,0,3.1,6.9,20.6
