date, pm25
01-01-2015,163
02-01-2015,165
03-01-2015,170
04-01-2015,159
05-01-2015,145
06-01-2015,154
07-01-2015,164
08-01-2015,169
09-01-2015,159
10-01-2015,164
11-01-2015,168
12-01-2015,170
13-01-2015,169
14-01-2015,174
15-01-2015,161
16-01-2015,152
17-01-2015,155
18-01-2015,162
19-01-2015,176
20-01-2015,168
21-01-2015,155
22-01-2015,138
23-01-2015,88
24-01-2015,129
25-01-2015,168
26-01-2015,152
27-01-2015,145
28-01-2015,156
29-01-2015,155
30-01-2015,154
31-01-2015,149
01-02-2015,209
02-02-2015,161
03-02-2015,163
04-02-2015,177
05-02-2015,180
06-02-2015,167
07-02-2015,165
08-02-2015,157
09-02-2015,160
10-02-2015,165
11-02-2015,172
12-02-2015,162
13-02-2015,172
14-02-2015,172
15-02-2015,171
16-02-2015,160
17-02-2015,163
18-02-2015,163
19-02-2015,162
20-02-2015,159
21-02-2015,182
22-02-2015,181
23-02-2015,192
24-02-2015,199
25-02-2015,156
26-02-2015,154
27-02-2015,137
28-02-2015,145
01-03-2015,113
03-03-2015,159
04-03-2015,153
05-03-2015,156
06-03-2015,241
07-03-2015,180
08-03-2015,155
09-03-2015,155
10-03-2015,152
13-03-2015,140
14-03-2015,165
15-03-2015,107
16-03-2015,100
17-03-2015,88
18-03-2015,152
19-03-2015,172
20-03-2015,168
21-03-2015,199
22-03-2015,189
23-03-2015,163
24-03-2015,148
25-03-2015,153
26-03-2015,179
27-03-2015,173
28-03-2015,181
29-03-2015,142
30-03-2015,142
31-03-2015,103
01-04-2015,94
02-04-2015,93
03-04-2015,79
04-04-2015,91
05-04-2015,121
06-04-2015,173
07-04-2015,163
08-04-2015,156
09-04-2015,152
10-04-2015,134
11-04-2015,130
12-04-2015,101
13-04-2015,115
14-04-2015,125
15-04-2015,140
16-04-2015,124
17-04-2015,120
18-04-2015,130
19-04-2015,105
20-04-2015,89
21-04-2015,117
22-04-2015,104
23-04-2015,114
24-04-2015,121
25-04-2015,106
26-04-2015,97
27-04-2015,92
28-04-2015,77
29-04-2015,90
30-04-2015,110
01-05-2015,74
02-05-2015,97
03-05-2015,106
04-05-2015,108
05-05-2015,109
06-05-2015,114
07-05-2015,92
08-05-2015,80
09-05-2015,93
10-05-2015,74
11-05-2015,81
12-05-2015,78
13-05-2015,81
14-05-2015,87
15-05-2015,94
16-05-2015,101
17-05-2015,75
18-05-2015,64
19-05-2015,60
20-05-2015,53
21-05-2015,64
22-05-2015,57
23-05-2015,53
24-05-2015,58
25-05-2015,61
26-05-2015,59
27-05-2015,64
28-05-2015,60
29-05-2015,58
30-05-2015,69
31-05-2015,79
01-06-2015,64
02-06-2015,61
03-06-2015,66
04-06-2015,72
05-06-2015,75
06-06-2015,93
07-06-2015,55
08-06-2015,58
09-06-2015,45
10-06-2015,30
11-06-2015,44
12-06-2015,49
13-06-2015,64
14-06-2015,73
15-06-2015,72
16-06-2015,64
17-06-2015,60
18-06-2015,47
19-06-2015,32
20-06-2015,36
21-06-2015,57
22-06-2015,81
23-06-2015,70
24-06-2015,86
25-06-2015,92
26-06-2015,94
27-06-2015,94
28-06-2015,81
30-06-2015,79
01-07-2015,76
02-07-2015,56
03-07-2015,51
04-07-2015,52
05-07-2015,48
06-07-2015,49
07-07-2015,54
08-07-2015,47
09-07-2015,49
10-07-2015,63
11-07-2015,64
12-07-2015,63
13-07-2015,62
14-07-2015,65
17-07-2015,74
18-07-2015,67
19-07-2015,57
20-07-2015,58
21-07-2015,55
22-07-2015,65
23-07-2015,92
24-07-2015,56
30-07-2015,30
31-07-2015,39
01-08-2015,42
02-08-2015,45
03-08-2015,47
04-08-2015,53
05-08-2015,47
06-08-2015,51
07-08-2015,55
08-08-2015,58
09-08-2015,62
10-08-2015,71
11-08-2015,74
12-08-2015,80
13-08-2015,57
14-08-2015,47
15-08-2015,44
16-08-2015,50
17-08-2015,67
18-08-2015,65
19-08-2015,71
